,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,SJER,0,0.34104046242774566,0.0,0.6507352941176471
1,SJER,36,0.5434782608695652,0.01,0.6433823529411765
2,SJER,119,0.594488188976378,0.05,0.5551470588235294
3,SJER,737,0.5761589403973509,0.25,0.6397058823529411
4,SJER,1401,0.6148867313915858,0.5,0.6985294117647058
5,SJER,2144,0.6210526315789474,0.75,0.6507352941176471
6,SJER,2133,0.5684523809523809,1.0,0.7022058823529411
7,SJER,0,0.34104046242774566,0.0,0.6507352941176471
8,SJER,24,0.6666666666666666,0.01,0.3235294117647059
9,SJER,138,0.55,0.05,0.6066176470588235
10,SJER,742,0.5055555555555555,0.25,0.6691176470588235
11,SJER,1405,0.581039755351682,0.5,0.6985294117647058
12,SJER,2142,0.5958904109589042,0.75,0.6397058823529411
13,SJER,2131,0.5814696485623003,1.0,0.6691176470588235
14,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
15,TEAK,35,0.5557461406518011,0.01,0.4297082228116711
16,TEAK,177,0.550314465408805,0.05,0.46419098143236076
17,TEAK,992,0.6633093525179856,0.25,0.6114058355437666
18,TEAK,1837,0.6797583081570997,0.5,0.596816976127321
19,TEAK,2899,0.6638054363376252,0.75,0.6153846153846154
20,TEAK,2937,0.6494413407821229,1.0,0.616710875331565
21,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
22,TEAK,32,0.6229802513464991,0.01,0.46021220159151194
23,TEAK,143,0.6263940520446096,0.05,0.4469496021220159
24,TEAK,974,0.658284023668639,0.25,0.5901856763925729
25,TEAK,2045,0.6461748633879781,0.5,0.6273209549071618
26,TEAK,2954,0.6629055007052186,0.75,0.623342175066313
27,TEAK,2929,0.6577464788732394,1.0,0.6193633952254642
