,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
1,TEAK,21,0.4714064914992272,0.01,0.40450928381962864
2,TEAK,179,0.5909090909090909,0.05,0.46551724137931033
3,TEAK,1022,0.6390101892285298,0.25,0.5822281167108754
4,TEAK,2043,0.6326530612244898,0.5,0.616710875331565
5,TEAK,2925,0.6558988764044944,0.75,0.6193633952254642
6,TEAK,2929,0.6543715846994536,1.0,0.6352785145888594
7,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
8,TEAK,27,0.4536741214057508,0.01,0.376657824933687
9,TEAK,171,0.6012558869701727,0.05,0.5079575596816976
10,TEAK,967,0.6616314199395771,0.25,0.5809018567639257
11,TEAK,2037,0.6493150684931507,0.5,0.6286472148541115
12,TEAK,3004,0.6428571428571429,0.75,0.6206896551724138
13,TEAK,3008,0.6767241379310345,1.0,0.6246684350132626
