,Model,Precision,Recall,Site,Threshold
42,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.6088193456614509,0.2522097819681791,NIWO,0.2
43,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.6740088105726872,0.1803182086034178,NIWO,0.30000000000000004
44,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.7027027027027027,0.10724808485562758,NIWO,0.4
45,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.7310924369747899,0.05126694166175604,NIWO,0.5
46,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.8461538461538461,0.019446081319976428,NIWO,0.6000000000000001
47,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,1.0,0.0017678255745433118,NIWO,0.7000000000000001
48,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.0,0.0,NIWO,0.8
49,/orange/ewhite/b.weinstein/retinanet/20190722_145609/resnet50_40.h5,0.0,0.0,NIWO,0.9
50,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.36528028933092227,0.7426470588235294,SJER,0.0
51,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.5668604651162791,0.7169117647058824,SJER,0.1
52,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.6975806451612904,0.6360294117647058,SJER,0.2
53,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.7668393782383419,0.5441176470588235,SJER,0.30000000000000004
54,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.8194444444444444,0.4338235294117647,SJER,0.4
55,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.8715596330275229,0.3492647058823529,SJER,0.5
56,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.9629629629629629,0.2867647058823529,SJER,0.6000000000000001
57,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.9622641509433962,0.1875,SJER,0.7000000000000001
58,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.9411764705882353,0.058823529411764705,SJER,0.8
59,/orange/ewhite/b.weinstein/retinanet/20190715_133239/resnet50_30.h5,0.0,0.0,SJER,0.9
60,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.29436038514442914,0.7867647058823529,SJER,0.0
61,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.5097560975609756,0.7683823529411765,SJER,0.1
62,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.6934306569343066,0.6985294117647058,SJER,0.2
63,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.7766497461928934,0.5625,SJER,0.30000000000000004
64,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.8676470588235294,0.4338235294117647,SJER,0.4
65,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.9647058823529412,0.3014705882352941,SJER,0.5
66,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.9807692307692307,0.1875,SJER,0.6000000000000001
67,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,1.0,0.07352941176470588,SJER,0.7000000000000001
68,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,1.0,0.014705882352941176,SJER,0.8
69,/orange/ewhite/b.weinstein/retinanet/20190722_133945/resnet50_30.h5,0.0,0.0,SJER,0.9
70,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.28263795423956933,0.7720588235294118,SJER,0.0
71,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.4950980392156863,0.7426470588235294,SJER,0.1
72,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.6789667896678967,0.6764705882352942,SJER,0.2
73,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.7475728155339806,0.5661764705882353,SJER,0.30000000000000004
74,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.8686131386861314,0.4375,SJER,0.4
75,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.9468085106382979,0.3272058823529412,SJER,0.5
76,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.9821428571428571,0.20220588235294118,SJER,0.6000000000000001
77,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,1.0,0.08455882352941177,SJER,0.7000000000000001
78,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,1.0,0.011029411764705883,SJER,0.8
79,/orange/ewhite/b.weinstein/retinanet/20190722_134545/resnet50_30.h5,0.0,0.0,SJER,0.9
80,/orange/ewhite/b.weinstein/retinanet/20190722_134844/resnet50_30.h5,0.2716688227684347,0.7720588235294118,SJER,0.0
