,Model,Precision,Recall,Site,Threshold
0,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.28824626865671643,0.7087155963302753,All,0.0
1,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.44881889763779526,0.6536697247706422,All,0.1
2,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.6656716417910448,0.5114678899082569,All,0.2
3,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.7860696517412935,0.3623853211009174,All,0.30000000000000004
4,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.8660714285714286,0.22247706422018348,All,0.4
5,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.9111111111111111,0.09403669724770643,All,0.5
6,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.9090909090909091,0.022935779816513763,All,0.6000000000000001
7,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,1.0,0.0045871559633027525,All,0.7000000000000001
8,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.0,0.0,All,0.8
9,/orange/ewhite/b.weinstein/retinanet/20190715_123358/resnet50_40.h5,0.0,0.0,All,0.9
