,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
1,TEAK,34,0.5085227272727273,0.01,0.47480106100795755
2,TEAK,199,0.6167763157894737,0.05,0.4973474801061008
3,TEAK,983,0.6269284712482468,0.25,0.5928381962864722
4,TEAK,1991,0.6955223880597015,0.5,0.6180371352785146
5,TEAK,2978,0.6398891966759003,0.75,0.6127320954907162
6,TEAK,3018,0.6574585635359116,1.0,0.6312997347480106
7,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
8,TEAK,35,0.5590909090909091,0.01,0.48938992042440316
9,TEAK,178,0.6258389261744967,0.05,0.4946949602122016
10,TEAK,999,0.6309859154929578,0.25,0.5941644562334217
11,TEAK,1886,0.6548797736916548,0.5,0.6140583554376657
12,TEAK,2925,0.6642958748221907,0.75,0.6193633952254642
13,TEAK,3000,0.6596045197740112,1.0,0.6193633952254642
