,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
1,NIWO,483,0.4940867279894875,0.05,0.2215674720094284
2,NIWO,2701,0.5332409972299169,0.25,0.22687094873305833
3,NIWO,5657,0.5208845208845209,0.5,0.2498526812021214
4,NIWO,8723,0.5561735261401557,0.75,0.2946375957572186
5,NIWO,8647,0.5814220183486238,1.0,0.29876252209781967
6,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
7,NIWO,508,0.5116580310880829,0.05,0.2327637006482027
8,NIWO,2894,0.5233990147783252,0.25,0.2504419563936358
9,NIWO,5707,0.5239294710327456,0.5,0.2451384796700059
10,NIWO,8700,0.5583982202447163,0.75,0.2958161461402475
11,NIWO,8610,0.55930359085963,1.0,0.30288744843842075
12,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
13,MLBS,80,0.5675675675675675,0.05,0.5153374233128835
14,MLBS,529,0.5617977528089888,0.25,0.5112474437627812
15,MLBS,1144,0.5859030837004405,0.5,0.5439672801635992
16,MLBS,1730,0.5711252653927813,0.75,0.5501022494887525
17,MLBS,1749,0.5532786885245902,1.0,0.5521472392638037
18,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
19,MLBS,72,0.5077262693156733,0.05,0.4703476482617587
20,MLBS,528,0.5636743215031316,0.25,0.5521472392638037
21,MLBS,1142,0.6128266033254157,0.5,0.5276073619631901
22,MLBS,1675,0.5820568927789934,0.75,0.5439672801635992
23,MLBS,1663,0.5925925925925926,1.0,0.556237218813906
24,SJER,0,0.34104046242774566,0.0,0.6507352941176471
25,SJER,142,0.6021505376344086,0.05,0.6176470588235294
26,SJER,720,0.631578947368421,0.25,0.6617647058823529
27,SJER,1392,0.622895622895623,0.5,0.6801470588235294
28,SJER,2110,0.5555555555555556,0.75,0.7169117647058824
29,SJER,2102,0.5919003115264797,1.0,0.6985294117647058
30,SJER,0,0.34104046242774566,0.0,0.6507352941176471
31,SJER,141,0.6543778801843319,0.05,0.5220588235294118
32,SJER,713,0.5714285714285714,0.25,0.6764705882352942
33,SJER,1416,0.5764705882352941,0.5,0.7205882352941176
34,SJER,2109,0.6440677966101694,0.75,0.6985294117647058
35,SJER,2104,0.6143790849673203,1.0,0.6911764705882353
36,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
37,TEAK,212,0.5828220858895705,0.05,0.5039787798408488
38,TEAK,950,0.6781789638932496,0.25,0.5729442970822282
39,TEAK,1879,0.670487106017192,0.5,0.6206896551724138
40,TEAK,2870,0.6680851063829787,0.75,0.6246684350132626
41,TEAK,2917,0.6746478873239437,1.0,0.6352785145888594
42,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
43,TEAK,237,0.5679012345679012,0.05,0.4880636604774536
44,TEAK,951,0.6474164133738601,0.25,0.5649867374005305
45,TEAK,1956,0.6681096681096681,0.5,0.6140583554376657
46,TEAK,2920,0.6643059490084986,0.75,0.6220159151193634
47,TEAK,2925,0.6729106628242075,1.0,0.6193633952254642
