,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
1,NIWO,548,0.5053763440860215,0.05,0.24926340601060695
2,NIWO,2730,0.5184275184275184,0.25,0.2486741308190925
3,NIWO,5555,0.5209656925031766,0.5,0.24160282852091927
4,NIWO,8518,0.5610561056105611,0.75,0.300530347672363
5,NIWO,8758,0.5662514156285391,1.0,0.2946375957572186
6,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
7,NIWO,619,0.4968314321926489,0.05,0.2309958750736594
8,NIWO,2945,0.5134474327628362,0.25,0.24749558043606365
9,NIWO,5528,0.5211442786069652,0.5,0.2469063052445492
10,NIWO,8641,0.5788876276958003,0.75,0.300530347672363
11,NIWO,8743,0.5759637188208617,1.0,0.29935179728933414
12,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
13,MLBS,88,0.5866050808314087,0.05,0.5194274028629857
14,MLBS,555,0.5739130434782609,0.25,0.5398773006134969
15,MLBS,1100,0.5887640449438202,0.5,0.5357873210633947
16,MLBS,1700,0.5822784810126582,0.75,0.5644171779141104
17,MLBS,1665,0.5461847389558233,1.0,0.556237218813906
18,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
19,MLBS,77,0.5262054507337526,0.05,0.5132924335378323
20,MLBS,560,0.5518672199170125,0.25,0.5439672801635992
21,MLBS,1118,0.6218905472636815,0.5,0.5112474437627812
22,MLBS,1688,0.5726495726495726,0.75,0.5480572597137015
23,MLBS,1704,0.59375,1.0,0.5439672801635992
24,SJER,0,0.34104046242774566,0.0,0.6507352941176471
25,SJER,132,0.6377952755905512,0.05,0.5955882352941176
26,SJER,727,0.6065573770491803,0.25,0.6801470588235294
27,SJER,1395,0.6187290969899666,0.5,0.6801470588235294
28,SJER,2142,0.5974842767295597,0.75,0.6985294117647058
29,SJER,2131,0.5635838150289018,1.0,0.7169117647058824
30,SJER,0,0.34104046242774566,0.0,0.6507352941176471
31,SJER,149,0.6083650190114068,0.05,0.5882352941176471
32,SJER,769,0.6208053691275168,0.25,0.6801470588235294
33,SJER,1446,0.5925925925925926,0.5,0.7058823529411765
34,SJER,2150,0.6161616161616161,0.75,0.6727941176470589
35,SJER,2117,0.6042944785276073,1.0,0.7242647058823529
36,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
37,TEAK,182,0.6526315789473685,0.05,0.493368700265252
38,TEAK,1000,0.6458333333333334,0.25,0.5755968169761273
39,TEAK,1995,0.6560693641618497,0.5,0.6021220159151194
40,TEAK,2950,0.6695156695156695,0.75,0.623342175066313
41,TEAK,2902,0.6642958748221907,1.0,0.6193633952254642
42,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
43,TEAK,202,0.6260720411663808,0.05,0.48408488063660476
44,TEAK,936,0.6481203007518797,0.25,0.5716180371352785
45,TEAK,1975,0.6545454545454545,0.5,0.6206896551724138
46,TEAK,2901,0.667601683029453,0.75,0.6312997347480106
47,TEAK,2893,0.6882352941176471,1.0,0.6206896551724138
