,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
1,NIWO,575,0.4879898862199747,0.05,0.22746022392457277
2,NIWO,2710,0.52,0.25,0.2527990571596936
3,NIWO,5724,0.520702634880803,0.5,0.24454920447849146
4,NIWO,8715,0.5775962660443408,0.75,0.29169121979964646
5,NIWO,8614,0.5656213704994193,1.0,0.2869770182675309
6,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
7,NIWO,620,0.4882198952879581,0.05,0.2197996464348851
8,NIWO,2802,0.5176010430247718,0.25,0.2339422510312316
9,NIWO,5586,0.5278514588859416,0.5,0.23453152622274603
10,NIWO,8717,0.5618945102260495,0.75,0.30760164997053624
11,NIWO,8638,0.5807200929152149,1.0,0.2946375957572186
12,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
13,MLBS,86,0.49355432780847147,0.05,0.5480572597137015
14,MLBS,518,0.5675057208237986,0.25,0.5071574642126789
15,MLBS,1122,0.5736263736263736,0.5,0.5337423312883436
16,MLBS,1694,0.5747863247863247,0.75,0.5501022494887525
17,MLBS,1740,0.5929203539823009,1.0,0.5480572597137015
18,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
19,MLBS,80,0.536036036036036,0.05,0.4867075664621677
20,MLBS,598,0.5546719681908548,0.25,0.5705521472392638
21,MLBS,1155,0.6314496314496314,0.5,0.5255623721881391
22,MLBS,1723,0.5822510822510822,0.75,0.5501022494887525
23,MLBS,1701,0.5848214285714286,1.0,0.5357873210633947
24,SJER,0,0.34104046242774566,0.0,0.6507352941176471
25,SJER,120,0.6502242152466368,0.05,0.5330882352941176
26,SJER,719,0.6052631578947368,0.25,0.6764705882352942
27,SJER,1384,0.6395759717314488,0.5,0.6654411764705882
28,SJER,2075,0.5962145110410094,0.75,0.6948529411764706
29,SJER,2180,0.598705501618123,1.0,0.6801470588235294
30,SJER,0,0.34104046242774566,0.0,0.6507352941176471
31,SJER,118,0.6529680365296804,0.05,0.5257352941176471
32,SJER,703,0.608540925266904,0.25,0.6286764705882353
33,SJER,1480,0.5922619047619048,0.5,0.7316176470588235
34,SJER,2159,0.6212624584717608,0.75,0.6875
35,SJER,2101,0.6169491525423729,1.0,0.6691176470588235
36,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
37,TEAK,222,0.5771604938271605,0.05,0.4960212201591512
38,TEAK,886,0.6704361873990307,0.25,0.5503978779840849
39,TEAK,1953,0.6685962373371924,0.5,0.6127320954907162
40,TEAK,2907,0.6575539568345323,0.75,0.6061007957559682
41,TEAK,2875,0.6657263751763046,1.0,0.6259946949602122
42,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
43,TEAK,207,0.5729646697388633,0.05,0.4946949602122016
44,TEAK,903,0.6906354515050167,0.25,0.5477453580901857
45,TEAK,1994,0.6878612716763006,0.5,0.6312997347480106
46,TEAK,2929,0.6728045325779037,0.75,0.629973474801061
47,TEAK,2934,0.6566523605150214,1.0,0.6087533156498673
