,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,SJER,142,0.6551724137931034,0.05,0.6985294117647058
1,SJER,760,0.6302250803858521,0.25,0.7205882352941176
2,SJER,1426,0.6125,0.5,0.7205882352941176
3,SJER,2074,0.6230529595015576,0.75,0.7352941176470589
4,SJER,2848,0.6266233766233766,1.0,0.7095588235294118
5,TEAK,183,0.6426666666666667,0.05,0.6392572944297082
6,TEAK,945,0.637466307277628,0.25,0.6273209549071618
7,TEAK,2005,0.6519944979367263,0.5,0.6286472148541115
8,TEAK,2966,0.6537396121883656,0.75,0.6259946949602122
9,TEAK,3903,0.6432432432432432,1.0,0.6312997347480106
10,NIWO,481,0.5579171094580234,0.05,0.30936947554507954
11,NIWO,2755,0.5531475748194015,0.25,0.31585150265173834
12,NIWO,5644,0.5416666666666666,0.5,0.31408367707719503
13,NIWO,8613,0.558974358974359,0.75,0.3211549793753683
14,NIWO,11452,0.544904137235116,1.0,0.3182086034177961
15,MLBS,87,0.6497584541062802,0.05,0.5501022494887525
16,MLBS,584,0.6168831168831169,0.25,0.5828220858895705
17,MLBS,1141,0.6587677725118484,0.5,0.5685071574642127
18,MLBS,1710,0.6483790523690773,0.75,0.5316973415132924
19,MLBS,2250,0.6257928118393234,1.0,0.6053169734151329
