,Evaluation Site,Number of Trees,Precision,Proportion,Recall
0,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
1,NIWO,679,0.541838134430727,0.05,0.2327637006482027
2,NIWO,2782,0.5301204819277109,0.25,0.23335297583971715
3,NIWO,5708,0.5285714285714286,0.5,0.23983500294637597
4,NIWO,8659,0.5499474237644585,0.75,0.30819092516205066
5,NIWO,8852,0.5609756097560976,1.0,0.29817324690630526
6,NIWO,0,0.23126614987080105,0.0,0.10548025928108426
7,NIWO,553,0.4645669291338583,0.05,0.24337065409546257
8,NIWO,2932,0.5221932114882507,0.25,0.2357100766057749
9,NIWO,5697,0.5303430079155673,0.5,0.23688862698880378
10,NIWO,8605,0.5679012345679012,0.75,0.29817324690630526
11,NIWO,8701,0.5550755939524838,1.0,0.30288744843842075
12,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
13,MLBS,97,0.5580357142857143,0.05,0.5112474437627812
14,MLBS,567,0.5813449023861171,0.25,0.5480572597137015
15,MLBS,1131,0.579295154185022,0.5,0.5378323108384458
16,MLBS,1728,0.5768421052631579,0.75,0.5603271983640081
17,MLBS,1713,0.5791666666666667,1.0,0.5685071574642127
18,MLBS,0,0.2857142857142857,0.0,0.13496932515337423
19,MLBS,104,0.47451669595782076,0.05,0.5521472392638037
20,MLBS,566,0.5584158415841585,0.25,0.5766871165644172
21,MLBS,1128,0.6067146282973621,0.5,0.5173824130879345
22,MLBS,1701,0.5555555555555556,0.75,0.5623721881390593
23,MLBS,1725,0.5964523281596452,1.0,0.5501022494887525
24,SJER,0,0.34104046242774566,0.0,0.6507352941176471
25,SJER,155,0.6115384615384616,0.05,0.5845588235294118
26,SJER,698,0.6357142857142857,0.25,0.6544117647058824
27,SJER,1444,0.6103896103896104,0.5,0.6911764705882353
28,SJER,2144,0.6107594936708861,0.75,0.7095588235294118
29,SJER,2153,0.583596214511041,1.0,0.6801470588235294
30,SJER,0,0.34104046242774566,0.0,0.6507352941176471
31,SJER,136,0.6008403361344538,0.05,0.5257352941176471
32,SJER,676,0.6101694915254238,0.25,0.6617647058823529
33,SJER,1419,0.6141479099678456,0.5,0.7022058823529411
34,SJER,2158,0.6038338658146964,0.75,0.6948529411764706
35,SJER,2139,0.6187290969899666,1.0,0.6801470588235294
36,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
37,TEAK,207,0.565625,0.05,0.48010610079575594
38,TEAK,972,0.6677115987460815,0.25,0.5649867374005305
39,TEAK,1899,0.6794117647058824,0.5,0.6127320954907162
40,TEAK,2988,0.6742209631728046,0.75,0.6312997347480106
41,TEAK,2910,0.6633941093969145,1.0,0.6273209549071618
42,TEAK,0,0.34754797441364604,0.0,0.21618037135278514
43,TEAK,171,0.6230366492146597,0.05,0.473474801061008
44,TEAK,970,0.6687306501547987,0.25,0.5729442970822282
45,TEAK,1937,0.6671428571428571,0.5,0.6193633952254642
46,TEAK,2932,0.6676176890156919,0.75,0.6206896551724138
47,TEAK,2895,0.6699857752489331,1.0,0.6246684350132626
